Identifiant borne;Nom de la station;Type de connecteur;Statut de disponibilité;Présence câble attaché;Numéro de la voie;Ouverture au service commercial;Nom du réseau de charge;Propriétaire des bornes;Intitulé de la voie;Code postal;Ville;Pays;Coordonnées géographiques
FR*V75*EBELI*34*1*3;RUE DE RENNES;T2;Occupé;Non;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*97*1*3;Docteur Goujon;CHAdeMO;Neutralisé;Oui;5;Oui;BELIB;;Rue Docteur Goujon;75012;Paris;France;48.839947,2.397822
FR*V75*EBELI*34*1*1;RUE DE RENNES;CHAdeMO;Disponible;Oui;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*97*1*3;Docteur Goujon;T3;Neutralisé;Non;5;Oui;BELIB;;Rue Docteur Goujon;75012;Paris;France;48.839947,2.397822
FR*V75*EBELI*34*1*1;RUE DE RENNES;T3;Disponible;Non;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*5*1*3;AV DUTUIT;CHAdeMO;Neutralisé;Oui;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*80*1*1;RUE DES POISSONIERS;Combo;Neutralisé;Oui;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*80*1*1;RUE DES POISSONIERS;CHAdeMO;Neutralisé;Oui;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*5*1*3;AV DUTUIT;E/F;Neutralisé;Non;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*80*1*1;RUE DES POISSONIERS;T2;Neutralisé;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*5*1*3;AV DUTUIT;T3;Neutralisé;Non;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*80*1*2;RUE DES POISSONIERS;E/F;Disponible;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*5*1*1;AV DUTUIT;T2;Neutralisé;Non;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*80*1*3;RUE DES POISSONIERS;Combo;Disponible;Oui;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*5*1*1;AV DUTUIT;Combo;Neutralisé;Oui;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*5*1*2;AV DUTUIT;E/F;Occupé;Non;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*38*1*3;RUE PERIGNON;E/F;Occupé;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*34*1*3;RUE DE RENNES;Combo;Occupé;Oui;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*38*1*3;RUE PERIGNON;T2;Occupé;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*38*1*3;RUE PERIGNON;CHAdeMO;Occupé;Oui;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*34*1*1;RUE DE RENNES;E/F;Disponible;Non;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*38*1*1;RUE PERIGNON;T3;Disponible;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*34*1*1;RUE DE RENNES;Combo;Disponible;Oui;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*38*1*1;RUE PERIGNON;T2;Disponible;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*34*1*1;RUE DE RENNES;T2;Disponible;Non;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*38*1*1;RUE PERIGNON;CHAdeMO;Disponible;Oui;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*34*1*2;RUE DE RENNES;E/F;Disponible;Non;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*38*1*2;RUE PERIGNON;E/F;Occupé;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*80*1*1;RUE DES POISSONIERS;T3;Neutralisé;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*72*1*1;RUE DE L'AMIRAL MOUCHEZ;E/F;Disponible;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*80*1*1;RUE DES POISSONIERS;E/F;Neutralisé;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*72*1*3;RUE DE L'AMIRAL MOUCHEZ;E/F;Disponible;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*80*1*3;RUE DES POISSONIERS;E/F;Disponible;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*72*1*3;RUE DE L'AMIRAL MOUCHEZ;Combo;Disponible;Oui;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*80*1*3;RUE DES POISSONIERS;CHAdeMO;Disponible;Oui;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*72*1*3;RUE DE L'AMIRAL MOUCHEZ;CHAdeMO;Disponible;Oui;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*80*1*3;RUE DES POISSONIERS;T2;Disponible;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*72*1*3;RUE DE L'AMIRAL MOUCHEZ;T2;Disponible;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*80*1*3;RUE DES POISSONIERS;T3;Disponible;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*4*1*3;AVENUE VICTOR HUGO;T3;Disponible;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*38*1*3;RUE PERIGNON;T3;Occupé;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*38*1*3;RUE PERIGNON;Combo;Occupé;Oui;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*4*1*3;AVENUE VICTOR HUGO;E/F;Disponible;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*4*1*3;AVENUE VICTOR HUGO;Combo;Disponible;Oui;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*38*1*1;RUE PERIGNON;E/F;Disponible;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*4*1*3;AVENUE VICTOR HUGO;CHAdeMO;Disponible;Oui;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*38*1*1;RUE PERIGNON;Combo;Disponible;Oui;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*4*1*3;AVENUE VICTOR HUGO;T2;Disponible;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
